Date;Open;High;Low;Close ;Adj Close ;Volume
Apr 5, 2025;83,852.82;84,183.31;83,487.50;83,879.98;83,879.98;43,540,676,608
Apr 3, 2025;82,487.48;83,909.30;81,282.10;83,102.83;83,102.83;36,852,112,080
Apr 2, 2025;85,180.61;88,466.95;82,343.54;82,485.71;82,485.71;47,584,398,470
Apr 1, 2025;82,551.92;85,487.37;82,429.36;85,169.17;85,169.17;28,175,650,319
Mar 31, 2025;82,336.06;83,870.13;81,293.89;82,548.91;82,548.91;29,004,228,247
Mar 30, 2025;82,596.98;83,505.00;81,573.25;82,334.52;82,334.52;14,763,760,943
Mar 29, 2025;84,352.07;84,567.34;81,634.14;82,597.59;82,597.59;16,969,396,135
Mar 28, 2025;87,185.23;87,489.86;83,557.64;84,353.15;84,353.15;34,198,619,509
Mar 27, 2025;86,896.26;87,786.73;85,837.94;87,177.10;87,177.10;24,413,471,941
Mar 26, 2025;87,460.23;88,292.16;85,861.45;86,900.88;86,900.88;26,704,046,038
Mar 25, 2025;87,512.82;88,542.40;86,346.08;87,471.70;87,471.70;30,005,840,049
Mar 24, 2025;86,070.93;88,758.73;85,541.20;87,498.91;87,498.91;34,582,604,933
Mar 23, 2025;83,831.90;86,094.78;83,794.91;86,054.38;86,054.38;12,594,615,537
Mar 22, 2025;84,046.26;84,513.88;83,674.78;83,832.48;83,832.48;9,863,214,091
Mar 21, 2025;84,164.54;84,782.27;83,171.07;84,043.24;84,043.24;19,030,452,299
Mar 20, 2025;86,872.95;87,443.27;83,647.20;84,167.20;84,167.20;29,028,988,961
Mar 19, 2025;82,718.80;87,021.19;82,569.73;86,854.23;86,854.23;34,931,960,257
Mar 18, 2025;84,075.72;84,075.72;81,179.99;82,718.50;82,718.50;24,095,774,594
Mar 17, 2025;82,576.34;84,725.33;82,492.16;84,075.69;84,075.69;25,092,785,558
Mar 16, 2025;84,333.32;85,051.60;82,017.91;82,579.69;82,579.69;21,330,270,174
Mar 15, 2025;83,968.41;84,672.67;83,639.59;84,343.11;84,343.11;13,650,491,277
Mar 14, 2025;81,066.99;85,263.29;80,797.56;83,969.10;83,969.10;29,588,112,414
Mar 13, 2025;83,724.92;84,301.70;79,931.85;81,066.70;81,066.70;31,412,940,153
Mar 12, 2025;82,857.38;84,358.58;80,635.25;83,722.36;83,722.36;40,353,484,454
Mar 11, 2025;78,523.88;83,577.76;76,624.25;82,862.21;82,862.21;54,702,837,196
Mar 10, 2025;80,597.15;83,955.93;77,420.59;78,532.00;78,532.00;54,061,099,422
Mar 9, 2025;86,154.30;86,471.13;80,052.48;80,601.04;80,601.04;30,899,345,977
Mar 8, 2025;86,742.66;86,847.27;85,247.48;86,154.59;86,154.59;18,206,118,081
Mar 7, 2025;89,963.28;91,191.05;84,717.68;86,742.67;86,742.67;65,945,677,657
Mar 6, 2025;90,622.36;92,804.94;87,852.14;89,961.73;89,961.73;47,749,810,486
Mar 5, 2025;87,222.95;90,998.24;86,379.77;90,623.56;90,623.56;50,498,988,027
Mar 4, 2025;86,064.07;88,911.27;81,529.24;87,222.20;87,222.20;68,095,241,474
Mar 3, 2025;94,248.42;94,429.75;85,081.30;86,065.67;86,065.67;70,072,228,536
Mar 2, 2025;86,036.26;95,043.44;85,040.21;94,248.35;94,248.35;58,398,341,092
Mar 1, 2025;84,373.87;86,522.30;83,794.23;86,031.91;86,031.91;29,190,628,396
Feb 28, 2025;84,705.63;85,036.32;78,248.91;84,373.01;84,373.01;83,610,570,576
Feb 27, 2025;84,076.86;87,000.78;83,144.96;84,704.23;84,704.23;52,659,591,954
Feb 26, 2025;88,638.89;89,286.25;82,131.90;84,347.02;84,347.02;64,597,492,134
Feb 25, 2025;91,437.12;92,511.08;86,008.23;88,736.17;88,736.17;92,139,104,128
Feb 24, 2025;96,277.96;96,503.45;91,371.74;91,418.17;91,418.17;44,046,480,529
Feb 23, 2025;96,577.80;96,671.88;95,270.45;96,273.92;96,273.92;16,999,478,976
Feb 22, 2025;96,134.20;96,950.16;95,765.34;96,577.76;96,577.76;18,353,824,477
Feb 21, 2025;98,340.67;99,497.97;94,852.96;96,125.55;96,125.55;49,608,706,470
Feb 20, 2025;96,632.68;98,767.20;96,442.67;98,333.94;98,333.94;31,668,022,771
Feb 19, 2025;95,532.53;96,855.59;95,011.97;96,635.61;96,635.61;28,990,872,862
Feb 18, 2025;95,773.81;96,695.38;93,388.84;95,539.55;95,539.55;37,325,720,482
Feb 17, 2025;96,179.01;97,032.23;95,243.55;95,773.38;95,773.38;27,336,550,690
Feb 16, 2025;97,580.49;97,725.59;96,060.98;96,175.03;96,175.03;16,536,755,396
